month,rev_cattle,rev_other,rev_subsidy,exp_feed,exp_salary,exp_vet,exp_pasture,exp_fuel_other,exp_animals,debt_payment
2025-11,1150556,0,0,0,360000,34650,60000,680294,0,250000
2025-12,1939798,0,0,1149047,360000,33660,60000,645092,0,250000
2026-01,539809,0,0,1091206,360000,33480,60000,635739,0,250000
2026-02,1036298,0,0,757152,360000,32310,60000,649556,0,250000
2026-03,539587,0,0,0,360000,54810,60000,504660,0,250000
2026-04,1179000,0,0,0,360000,57600,60000,723348,0,250000
2026-05,11730631,0,0,0,360000,40590,60000,629839,0,250000
2026-06,1079173,0,0,0,360000,40050,60000,770946,0,250000
2026-07,539587,0,0,0,360000,39870,60000,599200,0,250000
2026-08,589500,0,0,0,360000,39510,60000,655404,0,250000
