month,heads,cows,young,born,born_cattle,bought,sold,dead,sold_kg,bought_kg,avg_kg,cattle_kg,sheep_kg
2024-09,633,0,633,0,0,110,0,2,0,27500,322,203668,0
2024-10,534,0,534,0,0,110,207,2,86224,27500,311,166041,0
2024-11,538,0,538,0,0,110,105,1,42437,27500,313,168190,0
2024-12,543,0,543,0,0,110,104,1,41952,27500,311,169112,0
2025-01,633,0,633,0,0,90,0,0,0,22500,325,205921,0
2025-02,619,0,619,0,0,90,104,0,44013,22500,322,199261,0
2025-03,620,0,620,0,0,110,109,0,46511,27500,321,199142,0
2025-04,618,0,618,0,0,110,110,2,46347,27500,320,197654,0
2025-05,617,0,617,0,0,110,110,1,46028,27500,320,197237,0
2025-06,617,0,617,0,0,110,109,1,45950,27500,322,198458,0
2025-07,547,0,547,0,0,110,179,1,73855,27500,310,169660,0
2025-08,548,0,548,0,0,110,108,1,43363,27500,311,170509,0
2025-09,548,0,548,0,0,110,109,1,43825,27500,310,170141,0
2025-10,549,0,549,0,0,110,108,1,43530,27500,311,170586,0
2025-11,549,0,549,0,0,110,110,0,44221,27500,312,171043,0
2025-12,549,0,549,0,0,110,110,0,44673,27500,313,172079,0
2026-01,530,0,530,0,0,90,109,0,44284,22500,316,167530,0
2026-02,620,0,620,0,0,90,0,0,0,22500,326,201922,0
2026-03,620,0,620,0,0,110,110,0,47344,27500,325,201491,0
2026-04,620,0,620,0,0,110,109,1,46718,27500,322,199827,0
2026-05,620,0,620,0,0,110,110,0,47180,27500,322,199736,0
2026-06,620,0,620,0,0,110,110,0,46462,27500,318,197290,0
2026-07,640,0,640,0,0,110,90,0,37877,27500,321,205433,0
2026-08,659,0,659,0,0,110,90,1,38529,27500,323,213090,0
