tag,species,sex,group,breed,pedigree,born,weight_kg,issue
KZ-21-0001,КРС,M,бычки на откорме,помесь,товарное,2025-04,255,
KZ-21-0002,КРС,M,бычки на откорме,помесь,товарное,2025-10,381,
KZ-21-0003,КРС,M,бычки на откорме,помесь,товарное,2025-04,341,
KZ-21-0004,КРС,M,бычки на откорме,помесь,товарное,2025-05,291,нет в ИСЖ
KZ-21-0005,КРС,M,бычки на откорме,помесь,товарное,2025-04,327,
KZ-21-0006,КРС,M,бычки на откорме,помесь,товарное,2025-12,367,
KZ-21-0007,КРС,M,бычки на откорме,помесь,товарное,2025-04,392,
KZ-21-0008,КРС,M,бычки на откорме,помесь,товарное,2025-10,400,
KZ-21-0009,КРС,M,бычки на откорме,помесь,товарное,2025-08,261,
KZ-21-0010,КРС,M,бычки на откорме,помесь,товарное,2025-05,325,
KZ-21-0011,КРС,M,бычки на откорме,помесь,товарное,2025-05,289,
KZ-21-0012,КРС,M,бычки на откорме,помесь,товарное,2025-06,277,
KZ-21-0013,КРС,M,бычки на откорме,помесь,товарное,2025-06,247,
KZ-21-0014,КРС,M,бычки на откорме,помесь,товарное,2025-07,264,
KZ-21-0015,КРС,M,бычки на откорме,помесь,товарное,2025-09,352,нет акта взвешивания
KZ-21-0016,КРС,M,бычки на откорме,помесь,товарное,2025-11,314,
KZ-21-0017,КРС,M,бычки на откорме,помесь,товарное,2025-11,321,
KZ-21-0018,КРС,M,бычки на откорме,помесь,товарное,2025-07,286,нет акта взвешивания
KZ-21-0019,КРС,M,бычки на откорме,помесь,товарное,2025-05,414,
KZ-21-0020,КРС,M,бычки на откорме,помесь,товарное,2025-10,281,
KZ-21-0021,КРС,M,бычки на откорме,помесь,товарное,2025-10,317,
KZ-21-0022,КРС,M,бычки на откорме,помесь,товарное,2025-11,293,
KZ-21-0023,КРС,M,бычки на откорме,помесь,товарное,2025-07,285,
KZ-21-0024,КРС,M,бычки на откорме,помесь,товарное,2025-06,302,нет в ИСЖ
KZ-21-0025,КРС,M,бычки на откорме,помесь,товарное,2025-10,264,
KZ-21-0026,КРС,M,бычки на откорме,помесь,товарное,2025-08,338,
KZ-21-0027,КРС,M,бычки на откорме,помесь,товарное,2025-04,318,
KZ-21-0028,КРС,M,бычки на откорме,помесь,товарное,2025-06,356,
KZ-21-0029,КРС,M,бычки на откорме,помесь,товарное,2025-10,257,
KZ-21-0030,КРС,M,бычки на откорме,помесь,товарное,2025-04,284,
KZ-21-0031,КРС,M,бычки на откорме,помесь,товарное,2025-12,264,
KZ-21-0032,КРС,M,бычки на откорме,помесь,товарное,2025-05,362,
KZ-21-0033,КРС,M,бычки на откорме,помесь,товарное,2025-12,355,
KZ-21-0034,КРС,M,бычки на откорме,помесь,товарное,2025-09,310,
KZ-21-0035,КРС,M,бычки на откорме,помесь,товарное,2025-07,317,
KZ-21-0036,КРС,M,бычки на откорме,помесь,товарное,2025-06,340,нет в ИСЖ
KZ-21-0037,КРС,M,бычки на откорме,помесь,товарное,2025-10,395,
KZ-21-0038,КРС,M,бычки на откорме,помесь,товарное,2025-10,375,
KZ-21-0039,КРС,M,бычки на откорме,помесь,товарное,2025-07,428,
KZ-21-0040,КРС,M,бычки на откорме,помесь,товарное,2025-06,430,
KZ-21-0041,КРС,M,бычки на откорме,помесь,товарное,2025-07,322,
KZ-21-0042,КРС,M,бычки на откорме,помесь,товарное,2025-08,307,
KZ-21-0043,КРС,M,бычки на откорме,помесь,товарное,2025-08,337,
KZ-21-0044,КРС,M,бычки на откорме,помесь,товарное,2025-07,342,
KZ-21-0045,КРС,M,бычки на откорме,помесь,товарное,2025-12,372,
KZ-21-0046,КРС,M,бычки на откорме,помесь,товарное,2025-07,398,
KZ-21-0047,КРС,M,бычки на откорме,помесь,товарное,2025-08,245,
KZ-21-0048,КРС,M,бычки на откорме,помесь,товарное,2025-08,366,
KZ-21-0049,КРС,M,бычки на откорме,помесь,товарное,2025-05,385,
KZ-21-0050,КРС,M,бычки на откорме,помесь,товарное,2025-08,264,
KZ-21-0051,КРС,M,бычки на откорме,помесь,товарное,2025-07,341,
KZ-21-0052,КРС,M,бычки на откорме,помесь,товарное,2025-08,325,
KZ-21-0053,КРС,M,бычки на откорме,помесь,товарное,2025-07,339,
KZ-21-0054,КРС,M,бычки на откорме,помесь,товарное,2025-11,372,
KZ-21-0055,КРС,M,бычки на откорме,помесь,товарное,2025-04,305,нет в ИСЖ
KZ-21-0056,КРС,M,бычки на откорме,помесь,товарное,2025-11,284,нет акта взвешивания
KZ-21-0057,КРС,M,бычки на откорме,помесь,товарное,2025-04,333,
KZ-21-0058,КРС,M,бычки на откорме,помесь,товарное,2025-06,307,
KZ-21-0059,КРС,M,бычки на откорме,помесь,товарное,2025-08,334,
KZ-21-0060,КРС,M,бычки на откорме,помесь,товарное,2025-09,371,
KZ-21-0061,КРС,M,бычки на откорме,помесь,товарное,2025-11,267,
KZ-21-0062,КРС,M,бычки на откорме,помесь,товарное,2025-11,296,
KZ-21-0063,КРС,M,бычки на откорме,помесь,товарное,2025-06,412,
KZ-21-0064,КРС,M,бычки на откорме,помесь,товарное,2025-09,307,
KZ-21-0065,КРС,M,бычки на откорме,помесь,товарное,2025-11,285,
KZ-21-0066,КРС,M,бычки на откорме,помесь,товарное,2025-08,357,
KZ-21-0067,КРС,M,бычки на откорме,помесь,товарное,2025-09,346,
KZ-21-0068,КРС,M,бычки на откорме,помесь,товарное,2025-07,343,
KZ-21-0069,КРС,M,бычки на откорме,помесь,товарное,2025-06,341,
KZ-21-0070,КРС,M,бычки на откорме,помесь,товарное,2025-11,331,
KZ-21-0071,КРС,M,бычки на откорме,помесь,товарное,2025-07,348,
KZ-21-0072,КРС,M,бычки на откорме,помесь,товарное,2025-07,340,
KZ-21-0073,КРС,M,бычки на откорме,помесь,товарное,2025-04,209,
KZ-21-0074,КРС,M,бычки на откорме,помесь,товарное,2025-04,420,
KZ-21-0075,КРС,M,бычки на откорме,помесь,товарное,2025-09,355,
KZ-21-0076,КРС,M,бычки на откорме,помесь,товарное,2025-09,383,
KZ-21-0077,КРС,M,бычки на откорме,помесь,товарное,2025-11,236,
KZ-21-0078,КРС,M,бычки на откорме,помесь,товарное,2025-04,360,
KZ-21-0079,КРС,M,бычки на откорме,помесь,товарное,2025-05,342,
KZ-21-0080,КРС,M,бычки на откорме,помесь,товарное,2025-10,373,нет акта взвешивания
KZ-21-0081,КРС,M,бычки на откорме,помесь,товарное,2025-10,287,
KZ-21-0082,КРС,M,бычки на откорме,помесь,товарное,2025-10,318,
KZ-21-0083,КРС,M,бычки на откорме,помесь,товарное,2025-11,348,
KZ-21-0084,КРС,M,бычки на откорме,помесь,товарное,2025-08,286,
KZ-21-0085,КРС,M,бычки на откорме,помесь,товарное,2025-06,353,
KZ-21-0086,КРС,M,бычки на откорме,помесь,товарное,2025-09,282,
KZ-21-0087,КРС,M,бычки на откорме,помесь,товарное,2025-10,347,
KZ-21-0088,КРС,M,бычки на откорме,помесь,товарное,2025-10,342,
KZ-21-0089,КРС,M,бычки на откорме,помесь,товарное,2025-11,288,
KZ-21-0090,КРС,M,бычки на откорме,помесь,товарное,2025-11,382,
KZ-21-0091,КРС,M,бычки на откорме,помесь,товарное,2025-07,250,
KZ-21-0092,КРС,M,бычки на откорме,помесь,товарное,2025-09,324,
KZ-21-0093,КРС,M,бычки на откорме,помесь,товарное,2025-04,330,
KZ-21-0094,КРС,M,бычки на откорме,помесь,товарное,2025-08,292,
KZ-21-0095,КРС,M,бычки на откорме,помесь,товарное,2025-07,361,
KZ-21-0096,КРС,M,бычки на откорме,помесь,товарное,2025-08,281,
KZ-21-0097,КРС,M,бычки на откорме,помесь,товарное,2025-12,304,
KZ-21-0098,КРС,M,бычки на откорме,помесь,товарное,2025-11,361,нет в ИСЖ
KZ-21-0099,КРС,M,бычки на откорме,помесь,товарное,2025-06,278,
KZ-21-0100,КРС,M,бычки на откорме,помесь,товарное,2025-04,355,
KZ-21-0101,КРС,M,бычки на откорме,помесь,товарное,2025-05,282,
KZ-21-0102,КРС,M,бычки на откорме,помесь,товарное,2025-08,275,
KZ-21-0103,КРС,M,бычки на откорме,помесь,товарное,2025-10,250,
KZ-21-0104,КРС,M,бычки на откорме,помесь,товарное,2025-04,351,нет акта взвешивания
KZ-21-0105,КРС,M,бычки на откорме,помесь,товарное,2025-05,348,
KZ-21-0106,КРС,M,бычки на откорме,помесь,товарное,2025-12,365,
KZ-21-0107,КРС,M,бычки на откорме,помесь,товарное,2025-12,388,
KZ-21-0108,КРС,M,бычки на откорме,помесь,товарное,2025-04,372,
KZ-21-0109,КРС,M,бычки на откорме,помесь,товарное,2025-09,312,
KZ-21-0110,КРС,M,бычки на откорме,помесь,товарное,2025-11,317,
KZ-21-0111,КРС,M,бычки на откорме,помесь,товарное,2025-04,311,
KZ-21-0112,КРС,M,бычки на откорме,помесь,товарное,2025-09,282,
KZ-21-0113,КРС,M,бычки на откорме,помесь,товарное,2025-10,285,
KZ-21-0114,КРС,M,бычки на откорме,помесь,товарное,2025-08,297,
KZ-21-0115,КРС,M,бычки на откорме,помесь,товарное,2025-06,362,
KZ-21-0116,КРС,M,бычки на откорме,помесь,товарное,2025-07,304,
KZ-21-0117,КРС,M,бычки на откорме,помесь,товарное,2025-09,317,
KZ-21-0118,КРС,M,бычки на откорме,помесь,товарное,2025-07,228,нет в ИСЖ
KZ-21-0119,КРС,M,бычки на откорме,помесь,товарное,2025-05,395,нет акта взвешивания
KZ-21-0120,КРС,M,бычки на откорме,помесь,товарное,2025-12,325,
KZ-21-0121,КРС,M,бычки на откорме,помесь,товарное,2025-10,353,
KZ-21-0122,КРС,M,бычки на откорме,помесь,товарное,2025-08,331,нет акта взвешивания
KZ-21-0123,КРС,M,бычки на откорме,помесь,товарное,2025-11,260,
KZ-21-0124,КРС,M,бычки на откорме,помесь,товарное,2025-06,336,
KZ-21-0125,КРС,M,бычки на откорме,помесь,товарное,2025-12,332,
KZ-21-0126,КРС,M,бычки на откорме,помесь,товарное,2025-11,217,
KZ-21-0127,КРС,M,бычки на откорме,помесь,товарное,2025-10,333,
KZ-21-0128,КРС,M,бычки на откорме,помесь,товарное,2025-10,331,
KZ-21-0129,КРС,M,бычки на откорме,помесь,товарное,2025-11,404,
KZ-21-0130,КРС,M,бычки на откорме,помесь,товарное,2025-07,366,
KZ-21-0131,КРС,M,бычки на откорме,помесь,товарное,2025-12,292,
KZ-21-0132,КРС,M,бычки на откорме,помесь,товарное,2025-06,343,нет в ИСЖ
KZ-21-0133,КРС,M,бычки на откорме,помесь,товарное,2025-07,403,
KZ-21-0134,КРС,M,бычки на откорме,помесь,товарное,2025-05,295,
KZ-21-0135,КРС,M,бычки на откорме,помесь,товарное,2025-06,257,
KZ-21-0136,КРС,M,бычки на откорме,помесь,товарное,2025-08,322,
KZ-21-0137,КРС,M,бычки на откорме,помесь,товарное,2025-09,305,
KZ-21-0138,КРС,M,бычки на откорме,помесь,товарное,2025-11,332,
KZ-21-0139,КРС,M,бычки на откорме,помесь,товарное,2025-04,323,
KZ-21-0140,КРС,M,бычки на откорме,помесь,товарное,2025-11,373,
KZ-21-0141,КРС,M,бычки на откорме,помесь,товарное,2025-08,294,
KZ-21-0142,КРС,M,бычки на откорме,помесь,товарное,2025-04,394,нет акта взвешивания
KZ-21-0143,КРС,M,бычки на откорме,помесь,товарное,2025-11,277,
KZ-21-0144,КРС,M,бычки на откорме,помесь,товарное,2025-06,331,
KZ-21-0145,КРС,M,бычки на откорме,помесь,товарное,2025-10,390,
KZ-21-0146,КРС,M,бычки на откорме,помесь,товарное,2025-07,368,
KZ-21-0147,КРС,M,бычки на откорме,помесь,товарное,2025-12,343,
KZ-21-0148,КРС,M,бычки на откорме,помесь,товарное,2025-11,392,
KZ-21-0149,КРС,M,бычки на откорме,помесь,товарное,2025-10,316,нет в ИСЖ
KZ-21-0150,КРС,M,бычки на откорме,помесь,товарное,2025-08,268,
KZ-21-0151,КРС,M,бычки на откорме,помесь,товарное,2025-07,340,
KZ-21-0152,КРС,M,бычки на откорме,помесь,товарное,2025-12,326,
KZ-21-0153,КРС,M,бычки на откорме,помесь,товарное,2025-04,354,
KZ-21-0154,КРС,M,бычки на откорме,помесь,товарное,2025-10,348,
KZ-21-0155,КРС,M,бычки на откорме,помесь,товарное,2025-11,358,
KZ-21-0156,КРС,M,бычки на откорме,помесь,товарное,2025-09,412,
KZ-21-0157,КРС,M,бычки на откорме,помесь,товарное,2025-06,343,
KZ-21-0158,КРС,M,бычки на откорме,помесь,товарное,2025-05,384,
KZ-21-0159,КРС,M,бычки на откорме,помесь,товарное,2025-08,342,
KZ-21-0160,КРС,M,бычки на откорме,помесь,товарное,2025-06,308,нет акта взвешивания
KZ-21-0161,КРС,M,бычки на откорме,помесь,товарное,2025-12,401,
KZ-21-0162,КРС,M,бычки на откорме,помесь,товарное,2025-10,307,нет акта взвешивания
KZ-21-0163,КРС,M,бычки на откорме,помесь,товарное,2025-04,253,
KZ-21-0164,КРС,M,бычки на откорме,помесь,товарное,2025-12,295,
KZ-21-0165,КРС,M,бычки на откорме,помесь,товарное,2025-07,360,
KZ-21-0166,КРС,M,бычки на откорме,помесь,товарное,2025-07,370,
KZ-21-0167,КРС,M,бычки на откорме,помесь,товарное,2025-04,286,нет акта взвешивания
KZ-21-0168,КРС,M,бычки на откорме,помесь,товарное,2025-10,367,нет акта взвешивания
KZ-21-0169,КРС,M,бычки на откорме,помесь,товарное,2025-05,253,
KZ-21-0170,КРС,M,бычки на откорме,помесь,товарное,2025-06,287,нет в ИСЖ
KZ-21-0171,КРС,M,бычки на откорме,помесь,товарное,2025-07,372,нет акта взвешивания
KZ-21-0172,КРС,M,бычки на откорме,помесь,товарное,2025-08,323,
KZ-21-0173,КРС,M,бычки на откорме,помесь,товарное,2025-06,382,
KZ-21-0174,КРС,M,бычки на откорме,помесь,товарное,2025-04,382,нет акта взвешивания
KZ-21-0175,КРС,M,бычки на откорме,помесь,товарное,2025-06,313,
KZ-21-0176,КРС,M,бычки на откорме,помесь,товарное,2025-07,294,
KZ-21-0177,КРС,M,бычки на откорме,помесь,товарное,2025-09,308,
KZ-21-0178,КРС,M,бычки на откорме,помесь,товарное,2025-04,258,
KZ-21-0179,КРС,M,бычки на откорме,помесь,товарное,2025-06,361,
KZ-21-0180,КРС,M,бычки на откорме,помесь,товарное,2025-06,306,
KZ-21-0181,КРС,M,бычки на откорме,помесь,товарное,2025-07,361,
KZ-21-0182,КРС,M,бычки на откорме,помесь,товарное,2025-08,247,
