month,heads,cows,young,born,born_cattle,bought,sold,dead,sold_kg,bought_kg,avg_kg,cattle_kg,sheep_kg
2024-09,330,180,150,0,0,0,0,0,0,0,329,108600,0
2024-10,190,153,37,0,0,0,139,1,36500,0,410,77830,0
2024-11,189,179,10,0,0,0,0,1,0,0,454,85730,0
2024-12,189,179,10,0,0,0,0,0,0,0,454,85730,0
2025-01,189,179,10,0,0,0,0,0,0,0,454,85730,0
2025-02,189,179,10,0,0,0,0,0,0,0,454,85730,0
2025-03,281,179,102,92,92,0,0,0,0,0,357,100450,0
2025-04,342,178,164,62,62,0,0,1,0,0,321,109900,0
2025-05,341,177,164,0,0,0,0,1,0,0,321,109430,0
2025-06,341,177,164,0,0,0,0,0,0,0,321,109430,0
2025-07,340,177,163,0,0,0,0,1,0,0,321,109270,0
2025-08,340,177,163,0,0,0,0,0,0,0,321,109270,0
2025-09,339,177,162,0,0,0,0,1,0,0,322,109110,0
2025-10,196,149,47,0,0,0,141,2,36930,0,396,77550,0
2025-11,196,177,19,0,0,0,0,0,0,0,440,86230,0
2025-12,196,177,19,0,0,0,0,0,0,0,440,86230,0
2026-01,196,177,19,0,0,0,0,0,0,0,440,86230,0
2026-02,196,177,19,0,0,0,0,0,0,0,440,86230,0
2026-03,287,177,110,91,91,0,0,0,0,0,351,100790,0
2026-04,348,177,171,61,61,0,0,0,0,0,318,110550,0
2026-05,348,177,171,0,0,0,0,0,0,0,318,110550,0
2026-06,347,176,171,0,0,0,0,1,0,0,317,110080,0
2026-07,346,176,170,0,0,0,0,1,0,0,318,109920,0
2026-08,346,176,170,0,0,0,0,0,0,0,318,109920,0
