month,rev_cattle,rev_other,rev_subsidy,exp_feed,exp_salary,exp_vet,exp_pasture,exp_fuel_other,exp_animals,debt_payment
2024-09,0,0,0,0,1040000,49500,180000,883552,0,500000
2024-10,38825623,0,0,0,1040000,28500,180000,840501,0,500000
2024-11,0,0,0,251021,1040000,28350,0,870468,0,500000
2024-12,0,0,2148000,287311,1040000,28350,0,921413,0,500000
2025-01,0,0,0,314967,1040000,28350,0,898245,0,500000
2025-02,0,0,0,241649,1040000,28350,0,872543,0,500000
2025-03,0,0,0,365363,1040000,42150,0,789496,0,500000
2025-04,0,0,0,349749,1040000,51300,0,916276,0,500000
2025-05,0,0,0,0,1040000,51150,180000,748994,0,500000
2025-06,0,0,0,0,1040000,51150,180000,906799,0,500000
2025-07,0,0,0,0,1040000,51000,180000,3408807,0,500000
2025-08,0,0,0,5024250,1040000,51000,180000,3463654,0,500000
2025-09,0,0,0,0,1040000,50850,180000,953063,0,500000
2025-10,57131980,0,0,0,1040000,29400,180000,906628,0,500000
2025-11,0,0,0,461131,1040000,29400,0,904568,0,500000
2025-12,0,0,2124000,387031,1040000,29400,0,951563,0,500000
2026-01,0,0,0,327398,1040000,29400,0,1020025,0,500000
2026-02,0,0,0,370724,1040000,29400,0,904471,0,500000
2026-03,0,0,0,360787,1040000,43050,0,940975,0,500000
2026-04,0,0,0,365015,1040000,52200,0,986311,0,500000
2026-05,0,0,0,0,1040000,52200,180000,872202,0,500000
2026-06,0,0,0,0,1040000,52050,180000,865242,0,500000
2026-07,0,0,0,0,1040000,51900,180000,3468713,0,500000
2026-08,0,0,0,6632934,1040000,51900,180000,3438814,0,500000
