tag,species,sex,group,breed,pedigree,born,weight_kg,issue
KZ-11-0001,КРС,F,маточное поголовье,казахская белоголовая,товарное,2022-05,429,
KZ-11-0002,КРС,F,маточное поголовье,казахская белоголовая,товарное,2016-09,400,
KZ-11-0003,КРС,F,маточное поголовье,казахская белоголовая,товарное,2019-10,496,
KZ-11-0004,КРС,F,маточное поголовье,казахская белоголовая,товарное,2020-11,511,
KZ-11-0005,КРС,F,маточное поголовье,казахская белоголовая,товарное,2017-09,495,
KZ-11-0006,КРС,F,маточное поголовье,казахская белоголовая,товарное,2022-03,450,
KZ-11-0007,КРС,F,маточное поголовье,казахская белоголовая,товарное,2023-12,513,
KZ-11-0008,КРС,F,маточное поголовье,казахская белоголовая,товарное,2022-03,460,
KZ-11-0009,КРС,F,маточное поголовье,казахская белоголовая,товарное,2020-02,420,
KZ-11-0010,КРС,F,маточное поголовье,казахская белоголовая,товарное,2023-01,466,
KZ-11-0011,КРС,F,маточное поголовье,казахская белоголовая,товарное,2020-11,476,
KZ-11-0012,КРС,F,маточное поголовье,казахская белоголовая,товарное,2021-03,516,
KZ-11-0013,КРС,F,маточное поголовье,казахская белоголовая,товарное,2021-02,467,
KZ-11-0014,КРС,F,маточное поголовье,казахская белоголовая,товарное,2022-06,454,
KZ-11-0015,КРС,F,маточное поголовье,казахская белоголовая,товарное,2016-11,444,
KZ-11-0016,КРС,F,маточное поголовье,казахская белоголовая,товарное,2020-09,432,
KZ-11-0017,КРС,F,маточное поголовье,казахская белоголовая,товарное,2023-05,424,
KZ-11-0018,КРС,F,маточное поголовье,казахская белоголовая,товарное,2018-09,470,
KZ-11-0019,КРС,F,маточное поголовье,казахская белоголовая,товарное,2022-11,499,
KZ-11-0020,КРС,F,маточное поголовье,казахская белоголовая,товарное,2018-07,465,
KZ-11-0021,КРС,F,маточное поголовье,казахская белоголовая,товарное,2018-07,435,
KZ-11-0022,КРС,F,маточное поголовье,казахская белоголовая,товарное,2020-04,533,
KZ-11-0023,КРС,F,маточное поголовье,казахская белоголовая,товарное,2022-07,546,
KZ-11-0024,КРС,F,маточное поголовье,казахская белоголовая,товарное,2023-06,466,
KZ-11-0025,КРС,F,маточное поголовье,казахская белоголовая,товарное,2017-03,502,
KZ-11-0026,КРС,F,маточное поголовье,казахская белоголовая,товарное,2023-09,522,
KZ-11-0027,КРС,F,маточное поголовье,казахская белоголовая,товарное,2017-08,457,
KZ-11-0028,КРС,F,маточное поголовье,казахская белоголовая,товарное,2018-09,475,
KZ-11-0029,КРС,F,маточное поголовье,казахская белоголовая,товарное,2018-11,478,
KZ-11-0030,КРС,F,маточное поголовье,казахская белоголовая,товарное,2019-03,462,
KZ-11-0031,КРС,F,маточное поголовье,казахская белоголовая,товарное,2020-02,486,
KZ-11-0032,КРС,F,маточное поголовье,казахская белоголовая,товарное,2021-07,408,
KZ-11-0033,КРС,F,маточное поголовье,казахская белоголовая,товарное,2017-03,507,
KZ-11-0034,КРС,F,маточное поголовье,казахская белоголовая,товарное,2021-10,524,
KZ-11-0035,КРС,F,маточное поголовье,казахская белоголовая,товарное,2019-11,442,
